SIZE LAYERS EPOCH_0 EPOCH_1 EPOCH_2 EPOCH_3 EPOCH_4 F_UNTRUNC F_TRUNC F_TRUNC_SIG_TRUNC
1 1 2040 1703 2040 2032 2032 2032 1442 1442
1 2 1703 2032 2040 2032 2032 2032 1703 1703
1 3 2040 2032 2032 1703 2032 2032 1387 1387
1 4 2040 2040 2032 2040 2032 2032 1327 1327
1 5 2040 2040 2032 1756 2032 2032 2032 2032
1 6 2040 2032 1764 2032 1764 1764 2032 2032
1 7 2032 2040 2040 2032 1764 1764 1444 1444
1 8 2032 2040 2040 2032 2040 2040 2040 2040
1 9 2032 2032 2040 1764 1711 1711 1450 1450
1 10 1756 2040 2032 1703 2040 2040 1711 1711
1 11 2032 2040 2032 2040 2032 2032 1720 1720
1 12 2040 2032 2040 2040 2032 2032 2032 2032
1 13 2032 2040 2040 2040 2032 2032 1720 1720
1 14 2040 2032 2040 2040 2040 2040 2040 2040
1 15 1764 1764 1711 2032 2040 2040 1756 1756
1 16 1711 2040 2040 2032 2032 2032 2040 2040
1 17 1444 2040 2040 2040 2040 2040 2040 2040
1 18 2040 2040 2040 2040 2040 2040 1764 1764
1 19 1703 2040 2032 2040 2040 2040 2040 2040
1 20 1703 2040 2032 2040 2032 2032 2032 2032
2 1 1427 1875 1615 1586 1874 1874 1581 1581
2 2 1817 1871 1985 1817 1992 1992 1708 1708
2 3 1887 1843 1977 2083 1960 1960 1829 1829
2 4 1933 1883 1916 1951 2026 2026 1960 1960
2 5 1997 2099 2099 2046 1889 1889 2029 2029
2 6 1962 1954 1929 1929 2050 2050 2054 2054
2 7 2010 1999 2105 2003 2070 2070 1362 1362
2 8 1999 1903 1932 1956 2089 2089 1917 1917
2 9 2080 1987 2107 1922 2091 2091 1853 1853
2 10 2103 1953 1961 2144 2060 2060 2023 2023
2 11 2073 2011 2007 2007 1964 1964 1993 1993
2 12 1887 2007 2103 1964 2005 2005 1966 1966
2 13 1941 1954 2089 2141 2109 2109 1972 1972
2 14 1985 1954 2060 1909 1917 1917 2014 2014
2 15 2046 1969 2007 2079 2094 2094 2036 2036
2 16 2143 2081 2019 1917 2051 2051 1773 1773
2 17 2044 2109 2113 1869 2103 2103 1997 1997
2 18 2007 2095 1913 1964 1917 1917 1897 1897
2 19 2073 1879 1840 2138 2054 2054 2026 2026
2 20 1973 2094 2041 2008 2105 2105 2013 2013
3 1 2573 2307 2305 2401 2367 2367 2012 2012
3 2 2792 2735 2901 2737 3168 3168 2944 2944
3 3 2995 3208 3250 3049 3001 3001 2995 2995
3 4 3323 3167 3346 3098 3344 3344 3331 3331
3 5 3290 3340 3289 2994 3354 3354 3270 3270
3 6 3212 3359 3362 3367 3372 3372 3165 3165
